u,xi1,xi2,sig,phi,lpost,cont
40,1.6256748007437847,0.6172626901868019,41.49463366850318,0.047927080270508675,-8244.6103995069,FALSE
125,1.5826164388909507,0.6060842287815051,65.5398890587619,0.01822993237283152,-8246.597166986036,FALSE
335,1.560684960378272,0.3843105632655883,60.32385238257744,0.006294733083844557,-8247.007720271642,TRUE
76,1.5582237310135996,0.856200540965272,9.289470989425492,0.02807738766018704,-8244.8469351025,TRUE
172,1.6226303578538885,0.32855608414041526,218.84077813636097,0.01323140252866804,-8249.775853306286,FALSE
87,1.5568058729894245,0.8237240568829023,12.528982348604602,0.025409278745334284,-8244.70956171022,TRUE
111,1.5596120584426876,0.804877201892467,5.832193770961928,0.01939116267970346,-8245.042988990595,TRUE
281,1.5852936688599195,0.5174320701404249,137.16013050314785,0.007938841517200824,-8248.694304078543,FALSE
194,1.5378134484691162,0.5111868806604468,44.27460424056551,0.011233908781786721,-8246.02198186379,TRUE
485,1.5437367370035422,0.38329868385700205,127.06663248204863,0.005458899232133919,-8247.101015576403,TRUE
24,1.7087917818500638,1.084713034311861,2.8354430446615067,0.08098378297726049,-8245.257382120575,TRUE
6,2.0861312243525156,1.0908609984501536,6.250020793763713,0.19347250808585711,-8244.23497322574,FALSE
3,1.9829695278544746,1.1316902830716067,1.4825506713790786,0.3233904777402088,-8240.237936161482,TRUE
2,4.206176771125789,1.2171734982999012,1.346999004609564,0.39400176418700383,-8240.54082174848,FALSE
5,1.9198508165281702,1.2033503316859742,0.8386383513747594,0.23004287468961868,-8240.92475281035,TRUE
2,3.410463554679015,1.1638410396797632,1.3234023363604368,0.39400176418700383,-8239.83758565487,FALSE
3,2.3850229773442138,1.232759015160872,1.3014967553178096,0.31696559835342547,-8243.587053182571,FALSE
81,1.6051584751646493,0.9742702804890276,14.548380211224774,0.03368349786517274,-8247.454786703804,TRUE
264,1.584482277098282,0.6279753822151453,11.804208698249461,0.009132867756477953,-8246.076196640872,TRUE
250,1.6133902779072846,0.4793092827149117,97.2360429777421,0.012786584748842691,-8248.796785736058,TRUE
257,1.5726337932233068,0.4019487347174069,104.11249968242527,0.00911496618641576,-8248.382856060989,FALSE
541,1.5621151764054462,0.3497992978496521,189.1200033974807,0.005732252236955323,-8248.897808154381,TRUE
136,1.547257329223293,0.772346762650241,1.842305528462699,0.01530596018507971,-8245.504882444624,TRUE
118,1.6082542359603755,0.6174941188606967,84.01490253919849,0.019112025874742724,-8247.060364446568,FALSE
265,1.5080327227818344,0.5301910781969177,91.59160717819735,0.010204304278583553,-8246.926844477659,TRUE
14,1.8373344479440237,1.0888484289173228,3.5775724321109936,0.10820346956777419,-8245.368493742972,FALSE
2,2.4704395611461583,1.1750044562693616,1.4590752008597327,0.39400176418700383,-8239.048012849735,FALSE
456,1.5147542541506924,0.5936307036526607,8.3414575315159,0.005060967107702085,-8246.463910294666,TRUE
285,1.5573654948349034,0.5383202805119256,205.33086691935222,0.007644810349897089,-8249.1544618175285,FALSE
13,1.7252680450164828,0.8652703628380647,14.870084831416612,0.1126139370773302,-8243.623428982182,FALSE
139,1.6043372038649206,0.7462629717559515,8.509094567402265,0.01696634385671733,-8245.25901294315,TRUE
114,1.5937864575480822,0.8528656140841876,7.856172379854332,0.021536796931320677,-8244.951170035078,TRUE
197,1.5619203826815549,0.8612682161445488,43.55014351827319,0.0111731843575419,-8247.745232786714,FALSE
198,1.5334895427709847,0.38310286066919,92.56092794086878,0.012616921534735532,-8246.194988439383,TRUE
178,1.518100404438671,0.5037026833311122,69.2920448175776,0.013804923282664826,-8245.987442489666,TRUE
52,1.550753060168669,0.8539127582156185,13.869069276993844,0.040366815425628644,-8244.68820673505,TRUE
74,1.6474991181502758,0.6482000991501873,32.87177469826477,0.035590008373503616,-8246.949054492106,TRUE
451,1.5483851629193572,0.6083812634518444,40.35543723229059,0.006249832837145492,-8247.045663197889,TRUE
7,1.904857266154421,1.0145438987704445,7.091218792553028,0.1746545133784181,-8242.02446250722,FALSE
126,1.57946398735108,0.7926723148241286,7.066974713772448,0.018248611289656096,-8244.798064000855,TRUE
2,3.991842909480942,1.1251613338615098,1.5053891683100464,0.39400176418700383,-8240.619287651722,FALSE
6,2.08667730558635,1.2353927275546512,1.3210731614315026,0.19347250808585711,-8241.178491946874,FALSE
35,1.5629261716068865,0.8922928338002698,16.74425610059998,0.05174948544545722,-8244.879581777699,FALSE
